4.08	-86.59	33.66	1975	8	29	4	22	52.1	2.55	NaN	NaN	NaN	NaN	0	NaN	2.6888e-05	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
4.07	-76.7	47	1991	6	16	16	46	53	1.37	NaN	NaN	NaN	NaN	43	NaN	9.3148e-05	0.18623	NaN	NaN	NaN	NaN	-0.2	NaN	NaN	NaN
4.07	-65.762	41.927	2012	4	12	2	29	39.2	1.56	1.1246	0.041873	-0.63295	0.069852	14	6723.2	4.4273e-06	0.079479	0.47563	0.027387	1.9514	0.068493	12.8	3.6382	4.2731	3.0977
4.05	-69.905	47.77	1976	10	23	20	58	18	2.25	0.90716	0.057617	-1.2781	0.10593	27	199.18	0.00056254	1.25	0.66643	0.040762	2.9166	0.12035	3	0.8345	1.065	0.65388
4.04	-72.56	41.13	1981	10	21	16	49	0	2.5	NaN	NaN	NaN	NaN	0	NaN	2.2557e-05	0.032787	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
4.03	-70.66	43.61	2012	10	16	23	12	22	2.17	NaN	NaN	NaN	NaN	1	NaN	2.9356e-05	0.063641	NaN	NaN	NaN	NaN	0.6	NaN	NaN	NaN
4.02	-88.99	36.89	2003	6	6	12	29	33	2.3	NaN	NaN	NaN	NaN	22	NaN	0.00045471	1.0371	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
4.01	-75.54	39.76	1977	2	10	19	14	0	1.85	NaN	NaN	NaN	NaN	10	NaN	2.4913e-05	0.062296	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
3.99	-82.54	33.9	1979	8	13	5	19	25.2	2.5	NaN	NaN	NaN	NaN	1	NaN	0.00014157	0.33846	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.98	-81.92	37.2	2006	11	2	17	53	2.1	2.55	NaN	NaN	NaN	NaN	1	NaN	2.4395e-05	0.068533	NaN	NaN	NaN	NaN	1.0471	NaN	NaN	NaN
3.98	-84.229	35.567	1987	3	27	7	29	30.4	2.24	0.75586	0.02182	-2.7253	0.029203	46	165.08	0.00056737	1.3441	1.3836	0.09025	4.8231	0.23415	8.377	0.48104	0.5145	0.44975
3.98	-89.57	38.77	1983	5	15	5	16	22	2.55	NaN	NaN	NaN	NaN	4	NaN	1.8232e-05	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.98	-105.38	49.06	1982	8	17	4	49	25	2.48	NaN	NaN	NaN	NaN	1	NaN	7.2286e-06	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
